loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
540,3, Not Graduate, Yes,3000000,11400000,10,424,1800000,4200000,10900000,1500000, Rejected
541,4, Not Graduate, Yes,3500000,8300000,2,897,7900000,5500000,12600000,1800000, Approved
542,3, Not Graduate, No,300000,500000,2,477,700000,200000,800000,400000, Rejected
543,3, Not Graduate, Yes,600000,1400000,16,509,600000,300000,2400000,900000, Rejected
544,0, Graduate, Yes,800000,1700000,4,752,2300000,1100000,3200000,400000, Approved
545,0, Not Graduate, Yes,5600000,19100000,14,875,16700000,4700000,15100000,7700000, Approved
546,0, Graduate, Yes,3600000,8600000,6,529,3500000,3300000,11300000,5200000, Rejected
547,1, Not Graduate, No,6200000,19500000,20,448,3300000,7100000,22400000,8000000, Rejected
548,1, Graduate, No,6800000,22900000,4,501,3900000,9400000,17300000,4400000, Approved
549,2, Not Graduate, No,6300000,24500000,18,848,10200000,3500000,18200000,8200000, Approved
550,5, Not Graduate, Yes,9800000,37900000,18,301,6700000,4900000,34300000,6200000, Rejected
551,1, Graduate, No,7500000,28300000,16,707,9700000,1100000,16300000,6700000, Approved
552,2, Not Graduate, No,8600000,21700000,4,429,5500000,10800000,30900000,6000000, Rejected
553,5, Not Graduate, Yes,9600000,29600000,4,446,22900000,3500000,36600000,13200000, Approved
554,0, Graduate, Yes,7700000,18100000,18,705,6100000,5100000,23800000,6300000, Approved
555,3, Not Graduate, Yes,7000000,15200000,2,709,10300000,12500000,20700000,4000000, Approved
556,4, Graduate, No,9400000,32600000,4,898,18200000,4000000,22000000,10200000, Approved
557,4, Not Graduate, Yes,600000,2100000,6,558,1300000,1000000,2200000,300000, Approved
558,3, Not Graduate, No,6400000,14400000,10,546,10600000,10000000,21200000,5100000, Rejected
559,2, Not Graduate, Yes,3900000,11600000,8,808,5800000,3100000,12900000,5000000, Approved
560,3, Graduate, No,2700000,7800000,14,870,5400000,5300000,5700000,2100000, Approved
561,3, Graduate, No,1400000,3800000,8,840,1700000,200000,5300000,1500000, Approved
562,5, Graduate, Yes,4800000,10300000,8,781,4800000,6800000,11100000,4300000, Approved
563,4, Not Graduate, No,5900000,14900000,14,857,2600000,9500000,16000000,3500000, Approved
564,5, Graduate, Yes,8100000,32100000,6,823,18200000,1800000,24100000,6500000, Approved
565,0, Graduate, No,1400000,5000000,8,686,1800000,1900000,3200000,1500000, Approved
566,2, Graduate, Yes,8600000,24900000,20,607,13600000,7600000,31800000,5400000, Approved
567,0, Not Graduate, No,8200000,20300000,4,666,13100000,10200000,25900000,7800000, Approved
568,3, Graduate, No,3200000,10100000,20,704,3400000,4800000,9000000,3900000, Approved
569,0, Not Graduate, Yes,8100000,23800000,10,794,5400000,15500000,20700000,8800000, Approved
570,1, Graduate, Yes,9800000,23300000,12,430,3200000,12600000,30500000,13900000, Rejected
571,0, Not Graduate, No,200000,500000,20,615,500000,200000,600000,200000, Approved
572,0, Not Graduate, No,6600000,14100000,20,360,6800000,5100000,25400000,7800000, Rejected
573,2, Not Graduate, No,5500000,20400000,12,887,8800000,9400000,12300000,3300000, Approved
574,4, Graduate, No,9600000,25500000,20,544,4000000,11400000,23800000,11100000, Rejected
575,1, Not Graduate, No,300000,1200000,4,342,800000,100000,1100000,200000, Approved
576,1, Graduate, Yes,9000000,33500000,18,727,18800000,10500000,28100000,5300000, Approved
577,4, Graduate, No,2800000,6100000,18,415,2200000,4200000,8400000,2000000, Rejected
578,1, Graduate, Yes,6400000,17300000,10,879,10000000,1100000,15400000,8200000, Approved
579,0, Graduate, No,2900000,9800000,16,395,5400000,4300000,8600000,2400000, Rejected
580,0, Graduate, No,6500000,24100000,20,488,3300000,6000000,22900000,9700000, Rejected
581,1, Graduate, Yes,200000,400000,8,569,200000,200000,700000,300000, Approved
582,1, Graduate, Yes,6100000,17800000,20,706,16000000,10900000,16900000,4300000, Approved
583,2, Graduate, No,7300000,20000000,6,729,13100000,10700000,17900000,9100000, Approved
584,2, Graduate, No,5200000,17200000,12,565,3500000,1300000,20000000,6300000, Approved
585,0, Not Graduate, Yes,9400000,34200000,10,512,13100000,15600000,32600000,6300000, Rejected
586,0, Not Graduate, Yes,3300000,10000000,16,434,3000000,4100000,12900000,4100000, Rejected
587,2, Graduate, Yes,5900000,14300000,2,410,11900000,4400000,16900000,4100000, Rejected
588,4, Graduate, Yes,5700000,16900000,4,656,13000000,7400000,22000000,8400000, Approved
589,4, Not Graduate, Yes,7000000,23500000,18,336,15000000,9500000,19700000,7800000, Rejected
590,1, Graduate, Yes,1900000,4200000,4,620,4700000,2800000,7500000,900000, Approved
591,2, Graduate, No,4500000,9100000,18,593,-100000,600000,12400000,2500000, Approved
592,0, Not Graduate, Yes,9600000,34000000,12,710,23800000,10300000,38100000,7800000, Approved
593,1, Graduate, No,1400000,3100000,20,384,200000,1200000,4200000,1800000, Rejected
594,2, Graduate, No,1700000,5900000,16,610,3100000,300000,3700000,1300000, Approved
595,0, Graduate, No,5300000,19500000,12,802,9800000,3300000,15200000,3200000, Approved
596,3, Graduate, No,6500000,25200000,10,858,15400000,10900000,14000000,8100000, Approved
597,2, Graduate, No,5900000,14000000,8,599,4700000,9500000,17800000,6700000, Approved
598,4, Graduate, Yes,9800000,27000000,2,395,18700000,3000000,23000000,9700000, Rejected
599,5, Graduate, No,9900000,35700000,10,392,7900000,4300000,39200000,13000000, Rejected
600,0, Graduate, Yes,6400000,21900000,12,727,15400000,10100000,24000000,5300000, Approved
601,5, Graduate, No,7400000,21000000,4,561,21300000,3800000,26400000,3900000, Approved
602,3, Graduate, Yes,8600000,30300000,14,459,12000000,4100000,23800000,9100000, Rejected
603,0, Not Graduate, No,2600000,9400000,18,879,2800000,1400000,5100000,2300000, Approved
604,4, Not Graduate, Yes,9000000,21500000,14,508,16600000,17300000,24300000,13100000, Rejected
605,1, Graduate, Yes,8300000,16800000,2,366,22000000,6600000,27300000,4500000, Rejected
606,2, Not Graduate, No,300000,600000,2,383,600000,300000,1100000,400000, Rejected
607,0, Graduate, No,4100000,10700000,8,855,11500000,700000,11200000,3100000, Approved
608,5, Graduate, Yes,1800000,5300000,12,461,2800000,2000000,4700000,2000000, Rejected
609,1, Not Graduate, Yes,300000,600000,8,816,600000,300000,1100000,200000, Approved
610,0, Graduate, Yes,3200000,12000000,14,645,5200000,1400000,12100000,3400000, Approved
611,0, Not Graduate, Yes,9600000,22900000,8,515,4300000,14700000,33300000,7800000, Rejected
612,3, Not Graduate, No,2400000,9300000,2,682,3100000,4400000,5200000,1500000, Approved
613,0, Graduate, No,600000,1600000,10,588,1600000,100000,1100000,300000, Approved
614,0, Graduate, No,400000,1200000,4,766,900000,300000,1200000,300000, Approved
615,4, Graduate, No,5900000,19900000,14,469,14200000,6800000,22100000,3200000, Rejected
616,0, Graduate, Yes,700000,1400000,10,618,1300000,200000,1700000,500000, Approved
617,0, Not Graduate, Yes,8600000,17700000,20,711,22000000,0,30800000,7400000, Approved
618,0, Graduate, Yes,9000000,34000000,4,549,2000000,8900000,20000000,12400000, Approved
619,3, Graduate, Yes,5100000,20400000,6,754,1700000,2600000,11800000,7600000, Approved
620,4, Not Graduate, Yes,500000,1500000,6,461,1300000,500000,1700000,200000, Rejected
621,2, Graduate, No,1600000,3800000,10,837,3800000,1100000,5500000,1600000, Approved
622,0, Graduate, Yes,9800000,23900000,14,459,1000000,13400000,21100000,7200000, Rejected
623,4, Graduate, No,7800000,29700000,20,614,22000000,700000,26800000,6300000, Approved
624,4, Not Graduate, No,6500000,24000000,16,373,5600000,5100000,15600000,6700000, Rejected
625,5, Graduate, Yes,7500000,26500000,12,512,16500000,2900000,23700000,6000000, Rejected
626,4, Graduate, Yes,8900000,23400000,18,781,16500000,3100000,24900000,5800000, Approved
627,1, Not Graduate, Yes,7600000,27800000,6,447,1300000,700000,20100000,10900000, Rejected
628,4, Graduate, Yes,1200000,4600000,6,757,1900000,200000,4800000,1500000, Approved
629,5, Graduate, Yes,2700000,10400000,2,723,2800000,700000,10300000,1400000, Approved
630,1, Not Graduate, Yes,4600000,10900000,12,463,1200000,1200000,10900000,6600000, Rejected
631,4, Graduate, Yes,8400000,25200000,2,308,8100000,9300000,27700000,10500000, Approved
632,0, Graduate, No,300000,500000,18,702,300000,400000,1200000,100000, Approved
633,5, Graduate, Yes,7100000,19700000,4,727,7700000,12900000,23600000,5800000, Approved
634,0, Not Graduate, No,1800000,6600000,10,737,5000000,2000000,6000000,1500000, Approved
635,1, Graduate, Yes,7600000,29300000,14,690,13900000,4000000,30000000,9100000, Approved
636,5, Not Graduate, Yes,3600000,12400000,8,333,8800000,1000000,10700000,4000000, Rejected
637,5, Graduate, No,9400000,23700000,18,862,21500000,3500000,22400000,5600000, Approved
638,4, Graduate, No,800000,3100000,18,712,400000,700000,1900000,1100000, Approved
639,3, Graduate, No,1700000,5300000,14,696,300000,700000,4500000,800000, Approved
640,2, Not Graduate, No,2200000,8700000,18,729,3900000,3300000,7600000,1300000, Approved
641,3, Graduate, Yes,2200000,5300000,2,506,1600000,1700000,5800000,2800000, Rejected
642,1, Graduate, No,5000000,18800000,14,325,13100000,5700000,12800000,4300000, Rejected
643,4, Not Graduate, Yes,5500000,13400000,10,880,300000,800000,19900000,2800000, Approved
644,4, Graduate, No,7600000,29000000,8,739,22100000,8100000,22100000,8800000, Approved
645,1, Graduate, No,3100000,7400000,18,487,8400000,1200000,9200000,4500000, Rejected
646,3, Graduate, No,7700000,27700000,4,439,13900000,7500000,27100000,6200000, Approved
647,3, Not Graduate, No,3200000,9200000,14,443,3300000,1100000,7200000,4500000, Rejected
648,2, Graduate, No,700000,2600000,20,489,100000,200000,2400000,900000, Rejected
649,0, Graduate, Yes,4500000,10500000,20,417,9800000,2000000,9600000,5800000, Rejected
650,2, Not Graduate, No,1500000,4500000,18,428,4500000,1200000,5600000,1100000, Rejected
651,4, Not Graduate, Yes,6300000,15200000,16,415,15500000,1800000,20700000,7900000, Rejected
652,3, Not Graduate, Yes,6500000,18200000,20,405,10400000,2800000,21300000,6700000, Rejected
653,4, Graduate, No,8000000,31500000,18,683,10300000,7900000,30100000,9600000, Approved
654,1, Graduate, Yes,3300000,10600000,14,742,300000,600000,8400000,4500000, Approved
655,4, Not Graduate, No,3900000,10000000,10,530,10900000,200000,12300000,1900000, Rejected
656,3, Graduate, Yes,8000000,26300000,12,476,21700000,6600000,16400000,9000000, Rejected
657,2, Graduate, No,2200000,4800000,6,721,1800000,100000,6900000,2200000, Approved
658,4, Not Graduate, No,7600000,30300000,12,339,20400000,8000000,22200000,5800000, Rejected
659,5, Not Graduate, Yes,2700000,6800000,6,461,4500000,2000000,8200000,1700000, Rejected
660,2, Graduate, Yes,6300000,23200000,12,556,7000000,8300000,24200000,5300000, Approved
661,3, Not Graduate, No,7700000,18700000,8,483,15100000,5600000,24600000,10200000, Rejected
662,2, Graduate, No,4500000,17200000,18,406,4100000,6300000,13800000,3300000, Rejected
663,2, Graduate, Yes,9400000,24800000,14,513,24200000,18200000,37200000,7500000, Rejected
664,0, Not Graduate, No,4600000,12600000,16,574,3400000,6200000,15100000,3600000, Approved
665,5, Graduate, Yes,8000000,29800000,18,867,17700000,14100000,22800000,9200000, Approved
666,4, Graduate, Yes,8500000,18600000,10,597,16600000,3200000,21000000,11600000, Approved
667,2, Graduate, Yes,4900000,12000000,20,513,14200000,8100000,18300000,4800000, Rejected
668,3, Graduate, Yes,7000000,24200000,2,354,18200000,7000000,15900000,7900000, Approved
669,1, Graduate, No,6200000,14300000,20,819,7500000,11700000,16700000,4300000, Approved
670,4, Not Graduate, Yes,4100000,9600000,10,521,11900000,7100000,14100000,4900000, Rejected
671,4, Graduate, Yes,3800000,7800000,20,891,4600000,7000000,14300000,3300000, Approved
672,2, Graduate, No,6200000,23400000,8,605,10000000,10800000,21800000,9200000, Approved
673,4, Not Graduate, No,1600000,5100000,8,705,2400000,800000,5100000,1900000, Approved
674,1, Not Graduate, Yes,1300000,5000000,20,423,900000,800000,3900000,1600000, Rejected
675,2, Not Graduate, No,2100000,5000000,4,542,700000,600000,6600000,3100000, Rejected
676,5, Not Graduate, No,600000,2400000,18,631,600000,300000,2100000,900000, Approved
677,4, Graduate, No,7000000,24500000,18,318,4300000,1700000,16300000,3600000, Rejected
678,1, Graduate, No,900000,2900000,20,782,0,1500000,3500000,800000, Approved
679,2, Graduate, No,9600000,35000000,2,888,12600000,6500000,37900000,5800000, Approved
680,0, Graduate, Yes,5000000,18900000,6,641,4300000,8500000,19600000,6700000, Approved
681,5, Not Graduate, Yes,8800000,26600000,16,545,19100000,16600000,30400000,7600000, Rejected
682,5, Not Graduate, No,6200000,24200000,18,610,10200000,7800000,19600000,8300000, Approved
683,2, Graduate, Yes,8300000,27900000,18,840,12600000,3500000,19100000,9200000, Approved
684,1, Graduate, No,9100000,31200000,4,508,12800000,11700000,31100000,7800000, Approved
685,0, Not Graduate, Yes,9500000,34900000,4,535,800000,14100000,25600000,14000000, Approved
686,2, Graduate, Yes,7700000,19300000,8,735,1200000,1900000,23800000,10400000, Approved
687,5, Graduate, Yes,7800000,22000000,20,528,5800000,8800000,24700000,4900000, Rejected
688,0, Not Graduate, No,1700000,5700000,12,422,3400000,1100000,6500000,900000, Rejected
689,2, Graduate, No,2400000,7700000,6,719,6000000,1700000,6700000,1600000, Approved
690,3, Not Graduate, Yes,2700000,6100000,14,630,3900000,2800000,10600000,2300000, Approved
691,2, Graduate, No,4600000,15600000,2,764,7700000,1500000,16000000,5800000, Approved
692,0, Not Graduate, No,4700000,15500000,16,311,12800000,200000,17500000,2700000, Rejected
693,4, Not Graduate, Yes,8700000,30000000,4,370,17600000,15600000,34600000,12100000, Approved
694,1, Graduate, No,7000000,20500000,10,414,19700000,7500000,20700000,5100000, Rejected
695,2, Not Graduate, No,600000,1100000,10,800,1200000,200000,2300000,900000, Approved
696,1, Not Graduate, No,6800000,16900000,12,779,13800000,10200000,23400000,4400000, Approved
697,1, Not Graduate, No,6400000,14100000,20,553,11700000,4500000,20000000,3600000, Approved
698,4, Not Graduate, No,7600000,29900000,18,445,4800000,13900000,18400000,5700000, Rejected
699,3, Not Graduate, No,9000000,21400000,8,496,16400000,7300000,31800000,12500000, Rejected
700,5, Graduate, Yes,3500000,13500000,10,535,3100000,5700000,12500000,3100000, Rejected
701,4, Graduate, Yes,8900000,34000000,20,415,13500000,3100000,33600000,12800000, Rejected
702,0, Not Graduate, No,6000000,15300000,8,709,8900000,1700000,16400000,3500000, Approved
703,0, Not Graduate, Yes,6800000,17300000,18,841,10500000,8600000,16000000,8700000, Approved
704,4, Not Graduate, No,9200000,21700000,6,653,22700000,4600000,29400000,8600000, Approved
705,0, Not Graduate, No,4500000,17500000,10,495,10300000,3500000,9700000,6200000, Rejected
706,3, Not Graduate, No,1200000,2400000,12,480,3000000,100000,3100000,1700000, Rejected
707,4, Not Graduate, No,1700000,4900000,18,843,4800000,2200000,6200000,1800000, Approved
708,4, Graduate, Yes,6600000,16000000,16,379,6500000,12600000,24700000,4500000, Rejected
709,5, Not Graduate, No,4600000,11500000,16,668,6500000,3100000,10200000,5500000, Approved
710,0, Not Graduate, Yes,1500000,4100000,12,789,3600000,1600000,5800000,1300000, Approved
711,0, Graduate, Yes,400000,900000,2,855,-100000,500000,1300000,400000, Approved
712,4, Not Graduate, Yes,7600000,23800000,16,896,3700000,4500000,15400000,6400000, Approved
713,1, Not Graduate, Yes,9200000,24500000,4,545,25700000,0,20600000,13300000, Rejected
714,5, Not Graduate, No,9400000,36800000,20,891,13900000,16600000,19300000,8900000, Approved
715,3, Graduate, Yes,4900000,14300000,14,439,10300000,5600000,17400000,5100000, Rejected
716,3, Graduate, Yes,9100000,18800000,20,308,14500000,10200000,20500000,4800000, Rejected
717,5, Graduate, No,6100000,23500000,16,300,300000,700000,22800000,4800000, Rejected
718,3, Graduate, Yes,8400000,19600000,2,741,21500000,200000,18700000,8300000, Approved
719,2, Not Graduate, Yes,6100000,22300000,10,733,12100000,9700000,17200000,5600000, Approved
720,3, Graduate, Yes,9900000,29900000,20,490,10500000,9100000,27100000,7400000, Rejected
721,2, Not Graduate, No,9500000,25400000,16,451,19000000,2900000,33800000,11400000, Rejected
722,4, Not Graduate, No,1900000,3800000,20,785,1000000,600000,6100000,1500000, Approved
723,2, Not Graduate, No,7800000,17100000,14,351,19000000,7200000,19300000,7100000, Rejected
724,4, Not Graduate, No,7100000,14300000,14,537,13700000,10400000,18200000,6100000, Rejected
725,0, Graduate, Yes,4500000,9600000,14,471,3200000,7700000,11000000,3600000, Rejected
726,5, Graduate, No,8500000,25400000,4,336,8500000,1200000,30600000,9000000, Rejected
727,3, Not Graduate, Yes,2500000,9800000,16,424,4700000,3200000,5800000,1300000, Rejected
728,1, Not Graduate, Yes,1300000,2900000,6,480,2900000,300000,2900000,1400000, Rejected
729,3, Graduate, No,8300000,18900000,4,316,20200000,9700000,21300000,8200000, Rejected
730,1, Not Graduate, No,8000000,27800000,6,667,6000000,12600000,22500000,9900000, Approved
731,3, Not Graduate, Yes,5900000,19200000,10,442,9500000,500000,18300000,4700000, Rejected
732,1, Graduate, Yes,6000000,23300000,12,672,2000000,11300000,19600000,6400000, Approved
733,3, Not Graduate, Yes,9100000,29300000,2,508,19000000,5100000,31600000,11900000, Approved
734,1, Graduate, Yes,9000000,22800000,10,412,0,15600000,32000000,4700000, Rejected
735,5, Graduate, Yes,2600000,8600000,18,651,1000000,100000,7800000,2600000, Approved
736,4, Not Graduate, No,6600000,17300000,14,793,16700000,1400000,17500000,3900000, Approved
737,2, Not Graduate, No,6100000,21800000,4,407,9800000,100000,20200000,5800000, Approved
738,2, Not Graduate, No,4100000,11100000,8,390,800000,3100000,10100000,3400000, Rejected
739,5, Not Graduate, No,2700000,8300000,8,833,4600000,1300000,6800000,3300000, Approved
740,2, Graduate, No,6900000,20900000,2,302,18700000,10700000,26900000,9200000, Approved
741,0, Graduate, No,7600000,28700000,6,397,11000000,13200000,24600000,3800000, Rejected
742,1, Graduate, No,4100000,10000000,6,891,4900000,300000,12600000,3600000, Approved
743,3, Not Graduate, No,4100000,12200000,2,457,700000,500000,14100000,4900000, Rejected
744,0, Not Graduate, No,4300000,17000000,8,619,4100000,6600000,17100000,3900000, Approved
745,1, Graduate, Yes,9000000,33500000,2,748,7900000,9800000,25700000,11500000, Approved
746,3, Not Graduate, Yes,9500000,25500000,12,881,27000000,14100000,21600000,8900000, Approved
747,1, Graduate, Yes,5200000,14300000,18,650,5400000,2300000,17600000,3600000, Approved
748,5, Not Graduate, No,9700000,28400000,4,494,5300000,12000000,24400000,10000000, Rejected
749,4, Not Graduate, No,1200000,3300000,12,876,400000,100000,3800000,1000000, Approved
750,0, Graduate, Yes,7000000,26400000,14,610,14300000,0,13900000,5300000, Approved
751,5, Graduate, No,7600000,26000000,6,778,12900000,2400000,25500000,10900000, Approved
752,5, Graduate, Yes,700000,1800000,14,571,200000,400000,1900000,400000, Approved
753,3, Graduate, Yes,7500000,25100000,18,554,12500000,7900000,28500000,4700000, Approved
754,0, Not Graduate, Yes,2300000,6200000,8,712,6800000,1700000,8800000,1500000, Approved
755,0, Not Graduate, Yes,5400000,10900000,20,366,3700000,500000,21000000,4800000, Rejected
756,1, Not Graduate, Yes,1800000,5500000,10,426,5000000,1500000,5900000,1600000, Rejected
757,2, Graduate, No,2800000,11000000,16,525,8200000,1800000,5800000,2400000, Rejected
758,0, Not Graduate, No,7000000,25300000,14,697,15100000,10400000,14300000,6700000, Approved
759,1, Not Graduate, No,5700000,17200000,4,512,4300000,7000000,21400000,3000000, Approved
760,1, Graduate, Yes,2200000,8700000,20,539,1000000,4000000,8200000,2600000, Rejected
761,5, Not Graduate, No,2200000,7200000,10,532,2700000,300000,7500000,1600000, Rejected
762,3, Not Graduate, Yes,2500000,7700000,16,485,2000000,3600000,5600000,3200000, Rejected
763,0, Not Graduate, Yes,900000,2100000,6,521,100000,1700000,2100000,700000, Rejected
764,1, Not Graduate, No,2900000,7400000,10,874,400000,1200000,10100000,3300000, Approved
765,2, Not Graduate, No,5200000,14800000,12,659,11500000,5200000,18100000,4100000, Approved
766,1, Graduate, Yes,8600000,19600000,16,498,14800000,3000000,21000000,5300000, Rejected
767,2, Graduate, Yes,4800000,13200000,20,310,11800000,4600000,12900000,4200000, Rejected
768,0, Graduate, No,2000000,4700000,6,785,2900000,1800000,6700000,1700000, Approved
769,0, Graduate, No,3600000,8700000,10,309,6300000,1000000,8600000,3300000, Rejected
770,3, Not Graduate, Yes,5300000,19600000,2,433,14700000,9900000,10800000,3000000, Approved
771,1, Not Graduate, Yes,400000,1300000,18,801,100000,0,1500000,600000, Approved
772,3, Graduate, Yes,6500000,22400000,6,488,16800000,11700000,21700000,6800000, Rejected
773,3, Graduate, No,1000000,2800000,4,757,2500000,100000,3800000,900000, Approved
774,5, Not Graduate, No,3200000,10100000,6,828,8500000,6000000,8700000,3000000, Approved
775,3, Graduate, No,4700000,17400000,10,393,12400000,5300000,18700000,5300000, Rejected
776,4, Graduate, Yes,2400000,7100000,16,871,7000000,300000,8500000,3500000, Approved
777,0, Graduate, No,1400000,2700000,2,649,2600000,1000000,5500000,1100000, Approved
778,0, Graduate, Yes,3500000,10000000,14,709,5300000,1800000,9200000,5000000, Approved
779,2, Graduate, No,6100000,23600000,2,476,4600000,2900000,22500000,3800000, Approved
780,2, Not Graduate, Yes,3000000,7100000,4,819,5400000,4800000,6000000,2100000, Approved
781,0, Graduate, No,5900000,11800000,12,468,9100000,10000000,17500000,6200000, Rejected
782,5, Graduate, Yes,400000,800000,2,759,100000,500000,1300000,300000, Approved
783,3, Graduate, Yes,9000000,33600000,2,426,21600000,16200000,20700000,11900000, Approved
784,4, Graduate, Yes,2000000,4700000,2,615,500000,100000,6700000,3000000, Approved
785,4, Not Graduate, No,2700000,6100000,16,677,100000,3300000,6500000,3800000, Approved
786,1, Not Graduate, Yes,9000000,25400000,16,655,22000000,8800000,29100000,7200000, Approved
787,4, Not Graduate, No,5100000,19400000,8,755,2200000,300000,14900000,5300000, Approved
788,2, Graduate, No,4400000,9800000,18,712,5400000,200000,8800000,6400000, Approved
789,4, Not Graduate, Yes,1500000,4600000,6,524,3700000,2000000,5000000,1400000, Rejected
790,3, Not Graduate, No,7700000,26400000,12,759,3400000,2900000,21900000,10800000, Approved
791,2, Graduate, Yes,600000,2400000,6,454,100000,600000,2300000,300000, Rejected
792,4, Not Graduate, No,4300000,16500000,4,539,10600000,6100000,9300000,2100000, Approved
793,2, Not Graduate, Yes,8200000,27800000,16,827,11500000,8700000,26000000,10700000, Approved
794,2, Not Graduate, No,3200000,10500000,12,502,4300000,1500000,10000000,4500000, Rejected
795,4, Not Graduate, No,300000,1000000,10,819,700000,300000,900000,200000, Approved
796,5, Not Graduate, Yes,2500000,9600000,6,345,1900000,1900000,6800000,2600000, Rejected
797,2, Not Graduate, Yes,5600000,20000000,10,367,13700000,5000000,19100000,6000000, Rejected
798,1, Graduate, No,2700000,6800000,20,713,500000,3300000,6100000,1900000, Approved
799,2, Not Graduate, Yes,2700000,9400000,14,701,400000,3400000,9900000,1900000, Approved
800,4, Not Graduate, Yes,2800000,10000000,12,655,4900000,3600000,8500000,3300000, Approved
801,3, Not Graduate, Yes,7300000,20000000,18,720,15500000,9900000,23000000,9800000, Approved
802,0, Graduate, Yes,5900000,15100000,10,794,6000000,4300000,14900000,5400000, Approved
803,0, Graduate, No,8100000,21300000,2,392,14200000,6600000,31500000,11000000, Rejected
804,3, Graduate, Yes,1900000,7100000,6,583,400000,2800000,6500000,2000000, Approved
805,0, Not Graduate, Yes,7600000,17800000,14,570,15200000,12100000,21500000,9900000, Approved
806,1, Graduate, No,9100000,30100000,14,890,17800000,12400000,32500000,7500000, Approved
807,2, Not Graduate, No,3700000,10900000,12,788,1700000,700000,12200000,2600000, Approved
808,0, Not Graduate, No,9500000,35300000,6,605,10000000,12700000,31100000,7000000, Approved
809,5, Graduate, Yes,5300000,17800000,16,505,9200000,8500000,14600000,4100000, Rejected
810,0, Graduate, Yes,2400000,7200000,20,514,4100000,2100000,6700000,1800000, Rejected
811,1, Graduate, No,9500000,23000000,10,627,28500000,11500000,21700000,9100000, Approved
812,2, Not Graduate, Yes,7400000,14900000,20,627,15900000,10100000,19000000,10300000, Approved
813,4, Not Graduate, Yes,1500000,3200000,10,858,1500000,0,4700000,1700000, Approved
814,3, Graduate, Yes,8800000,30200000,8,607,13600000,12700000,21500000,5900000, Approved
815,1, Not Graduate, Yes,8100000,26900000,6,522,23000000,2100000,18700000,4200000, Rejected
816,2, Not Graduate, Yes,2300000,9100000,20,610,3700000,600000,7800000,3400000, Approved
817,5, Not Graduate, Yes,3000000,6600000,16,462,5500000,3500000,9100000,3600000, Rejected
818,4, Graduate, Yes,1700000,6500000,20,636,1700000,900000,6200000,2300000, Approved
819,4, Graduate, Yes,9700000,25000000,4,542,9800000,12000000,29300000,13400000, Rejected
820,5, Not Graduate, Yes,3500000,11800000,4,642,2300000,2900000,11900000,3600000, Approved
821,5, Not Graduate, Yes,1500000,5500000,4,414,800000,1400000,2900000,1200000, Approved
822,3, Graduate, No,900000,3100000,10,369,1400000,100000,1700000,500000, Rejected
823,5, Not Graduate, Yes,9800000,23200000,10,416,11000000,17300000,21600000,8500000, Rejected
824,5, Graduate, No,2100000,5500000,20,705,5400000,1400000,4600000,1200000, Approved
825,0, Graduate, No,1800000,5700000,18,306,500000,700000,5600000,1700000, Rejected
826,1, Graduate, No,1200000,2800000,12,431,900000,400000,2900000,900000, Rejected
827,5, Not Graduate, Yes,9700000,25900000,2,754,9000000,10000000,28500000,6700000, Approved
828,3, Graduate, Yes,9000000,32900000,6,657,9900000,600000,29200000,12000000, Approved
829,1, Graduate, Yes,9500000,30500000,18,500,1300000,3300000,20500000,5500000, Rejected
830,4, Graduate, Yes,700000,1800000,20,626,500000,600000,1400000,300000, Approved
831,3, Not Graduate, No,4200000,11400000,10,654,8800000,400000,16200000,5700000, Approved
832,2, Graduate, Yes,7100000,18800000,12,838,1100000,5200000,16600000,4900000, Approved
833,1, Not Graduate, Yes,4700000,16000000,14,406,4000000,5300000,14300000,3300000, Rejected
834,0, Graduate, Yes,9800000,23200000,10,573,23900000,3300000,23600000,14600000, Approved
835,0, Graduate, Yes,9800000,38700000,2,611,6600000,10400000,33000000,6000000, Approved
836,0, Not Graduate, No,5100000,13400000,16,649,6800000,1600000,15700000,3900000, Approved
837,0, Not Graduate, Yes,3300000,7700000,12,775,8200000,2100000,7400000,4200000, Approved
838,3, Graduate, Yes,3200000,9900000,10,316,9100000,5500000,8800000,3600000, Rejected
839,2, Graduate, No,3200000,10400000,10,556,8200000,5600000,11500000,4500000, Approved
840,2, Not Graduate, Yes,8700000,18900000,2,554,3900000,1900000,18000000,11500000, Approved
841,2, Not Graduate, Yes,2900000,10200000,10,315,8100000,400000,6500000,1600000, Rejected
842,1, Not Graduate, Yes,1300000,5000000,4,610,3400000,800000,4500000,900000, Approved
843,1, Graduate, No,8700000,33200000,4,866,19600000,15900000,23700000,10500000, Approved
844,3, Not Graduate, Yes,6400000,23500000,12,684,17200000,10300000,25300000,7400000, Approved
845,0, Not Graduate, No,4200000,14800000,20,510,9200000,5700000,11900000,2600000, Rejected
846,4, Not Graduate, No,3900000,9000000,2,674,8700000,5700000,14000000,3100000, Approved
847,0, Graduate, Yes,2000000,4900000,14,570,3800000,300000,6600000,1300000, Approved
848,1, Not Graduate, No,500000,1700000,2,680,700000,800000,1400000,700000, Approved
849,0, Graduate, No,3500000,8800000,12,803,5400000,300000,8400000,3400000, Approved
850,3, Not Graduate, Yes,4900000,19000000,4,575,14100000,9100000,16500000,4600000, Approved
